_input,_num,_widgetName,_source,_resultNumber,_pageUrl,ime_i_prezime_narodnog_poslanika_link,ime_i_prezime_narodnog_poslanika_link/_source,ime_i_prezime_narodnog_poslanika_link/_title,ime_i_prezime_narodnog_poslanika_link/_text,politicka_stranka,mesto,godiste
,18,skupstina-srbije-poslanici,skupstina-srbije-poslanici,18,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/NEBOJ%C5%A0A_BERI%C4%86.730.891.html,/NEBOJ%C5%A0A_BERI%C4%86.730.891.html,,BERIĆ NEBOJŠA,SNS,Sombor,1972.
,19,skupstina-srbije-poslanici,skupstina-srbije-poslanici,19,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/LjILjANA_BERONjA.810.891.html,/LjILjANA_BERONjA.810.891.html,,BERONjA Dr LjILjANA,SNS,Kula,1959.
,20,skupstina-srbije-poslanici,skupstina-srbije-poslanici,20,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/VESNA_BESAROVI%C4%86.766.891.html,/VESNA_BESAROVI%C4%86.766.891.html,,BESAROVIĆ prof. dr VESNA,SPDS,Beograd Vračar,1946.
,21,skupstina-srbije-poslanici,skupstina-srbije-poslanici,21,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MILENA_BI%C4%86ANIN.758.891.html,/MILENA_BI%C4%86ANIN.758.891.html,,BIĆANIN MILENA,SPDS,Surčin,1964.
,22,skupstina-srbije-poslanici,skupstina-srbije-poslanici,22,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/BOBAN_BIRMAN%C4%8CEVI%C4%86.795.891.html,/BOBAN_BIRMAN%C4%8CEVI%C4%86.795.891.html,,BIRMANČEVIĆ Dr BOBAN,SNS,Šabac,1969.
,23,skupstina-srbije-poslanici,skupstina-srbije-poslanici,23,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/BRANISLAV_BLA%C5%BDI%C4%86+.23.891.html,/BRANISLAV_BLA%C5%BDI%C4%86+.23.891.html,,BLAŽIĆ Dr BRANISLAV,SNS,Beograd,1957.
,24,skupstina-srbije-poslanici,skupstina-srbije-poslanici,24,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/%C5%BDARKO_BOGATINOVI%C4%86.782.891.html,/%C5%BDARKO_BOGATINOVI%C4%86.782.891.html,,BOGATINOVIĆ ŽARKO,SNS,Leskovac,1964.
,25,skupstina-srbije-poslanici,skupstina-srbije-poslanici,25,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/GORAN_BOGDANOVI%C4%86.250.891.html,/GORAN_BOGDANOVI%C4%86.250.891.html,,BOGDANOVIĆ GORAN,SDS,Leposavić,1963.
,26,skupstina-srbije-poslanici,skupstina-srbije-poslanici,26,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ZORAN_BOJANI%C4%86.624.891.html,/ZORAN_BOJANI%C4%86.624.891.html,,BOJANIĆ ZORAN,SNS,Kraljevo,1959.
,27,skupstina-srbije-poslanici,skupstina-srbije-poslanici,27,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/BRANKA_BO%C5%A0NjAK.784.891.html,/BRANKA_BO%C5%A0NjAK.784.891.html,,BOŠNjAK BRANKA,SPDS,Beograd Voždovac,1956.
,28,skupstina-srbije-poslanici,skupstina-srbije-poslanici,28,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/BAL%C5%A0A_BO%C5%BDOVI%C4%86.559.891.html,/BAL%C5%A0A_BO%C5%BDOVI%C4%86.559.891.html,,BOŽOVIĆ BALŠA,DS,Stari grad,1983.
,29,skupstina-srbije-poslanici,skupstina-srbije-poslanici,29,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/BLAGOJE_BRADI%C4%86.849.891.html,/BLAGOJE_BRADI%C4%86.849.891.html,,BRADIĆ Dr BLAGOJE,ZZS,Niš,1955.
,30,skupstina-srbije-poslanici,skupstina-srbije-poslanici,30,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MILORAD_CVETANOVI%C4%86.864.891.html,/MILORAD_CVETANOVI%C4%86.864.891.html,,CVETANOVIĆ MILORAD,SNS,Beograd Mladenovac,1962.
